"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 11 17:06:27 GMT 2021","Mon Oct 11 17:06:33 GMT 2021","6156","tests.partner","test_add_partner","","","","Admin can add a partner to the system.",""
"passed","Mon Oct 11 17:06:25 GMT 2021","Mon Oct 11 17:06:26 GMT 2021","1058","tests.partner","test_add_partner","","","","Admin try create empty partner.",""
